timestep,cumulative_active_nodes,percent_activated,reward,algorithm,trial
4,532,73.76237623762376,227.92515283906727,random,0
5,686,76.23762376237624,239.00445320420297,random,0
6,840,76.23762376237624,238.70951348696764,random,0
7,993,75.74257425742574,232.83896261928373,random,0
8,1150,77.72277227722772,239.88901171498486,random,0
9,1303,75.74257425742574,233.34500629949827,random,0
10,1457,76.23762376237624,236.8464183925981,random,0
11,1610,75.74257425742574,231.81758298399558,random,0
12,1767,77.72277227722772,237.7064139364585,random,0
13,1925,78.21782178217822,240.71640599534473,random,0
14,2082,77.72277227722772,240.4947001039231,random,0
15,2246,81.1881188118812,250.26558721355428,random,0
16,2403,77.72277227722772,241.177072753796,random,0
17,2561,78.21782178217822,241.90081577925028,random,0
18,2719,78.21782178217822,241.69622995815703,random,0
19,2873,76.23762376237624,230.90572845419254,random,0
20,3046,85.64356435643565,261.71987783931127,random,0
1,111,54.95049504950495,168.55564305688137,dqn,1
2,241,64.35643564356435,197.66742328666814,dqn,1
3,386,71.78217821782178,221.0021354219969,dqn,1
4,545,78.71287128712872,241.80770237235453,dqn,1
5,695,74.25742574257426,231.70663554539192,dqn,1
6,847,75.24752475247524,231.91486696283891,dqn,1
7,1011,81.1881188118812,250.73408388748754,dqn,1
8,1179,83.16831683168317,255.79623132904467,dqn,1
9,1338,78.71287128712872,243.03714326747186,dqn,1
10,1509,84.65346534653465,262.522920919652,dqn,1
11,1664,76.73267326732673,234.31942503148892,dqn,1
12,1828,81.1881188118812,250.78098292346888,dqn,1
13,1989,79.70297029702971,246.06620267166576,dqn,1
14,2155,82.17821782178217,254.223869474418,dqn,1
15,2310,76.73267326732673,234.87173578763594,dqn,1
16,2465,76.73267326732673,236.83574457226317,dqn,1
17,2628,80.6930693069307,246.01354272698578,dqn,1
18,2791,80.6930693069307,248.6465976370702,dqn,1
19,2952,79.70297029702971,247.35810552119668,dqn,1
20,3117,81.68316831683168,251.89397889663232,dqn,1
1,109,53.960396039603964,165.49720006586918,cdsqn,1
2,248,68.8118811881188,211.4138734486307,cdsqn,1
3,386,68.31683168316832,209.43481055166498,cdsqn,1
4,528,70.29702970297029,216.95641264487406,cdsqn,1
5,673,71.78217821782178,218.4654846965094,cdsqn,1
6,831,78.21782178217822,238.1701814408405,cdsqn,1
7,986,76.73267326732673,233.94462011630372,cdsqn,1
8,1143,77.72277227722772,239.40977712280943,cdsqn,1
9,1288,71.78217821782178,220.511084593875,cdsqn,1
10,1447,78.71287128712872,238.77439832442465,cdsqn,1
11,1613,82.17821782178217,249.89918822146467,cdsqn,1
12,1773,79.20792079207921,244.60401762507087,cdsqn,1
13,1939,82.17821782178217,252.92574424988314,cdsqn,1
14,2105,82.17821782178217,253.34177060966758,cdsqn,1
15,2260,76.73267326732673,235.51000906400012,cdsqn,1
16,2426,82.17821782178217,253.40361978679474,cdsqn,1
17,2583,77.72277227722772,241.13843892161492,cdsqn,1
18,2745,80.19801980198021,245.2973320274331,cdsqn,1
19,2898,75.74257425742574,231.38255855156277,cdsqn,1
20,3062,81.1881188118812,249.6976024504828,cdsqn,1
1,112,55.44554455445545,172.45243803372654,whittle,1
2,252,69.3069306930693,213.72853971548375,whittle,1
3,402,74.25742574257426,228.47579948071578,whittle,1
4,558,77.22772277227723,238.47242184523992,whittle,1
5,714,77.22772277227723,237.87752915566074,whittle,1
6,871,77.72277227722772,239.1286068406592,whittle,1
7,1035,81.1881188118812,252.3142664977576,whittle,1
8,1187,75.24752475247524,233.92529417857926,whittle,1
9,1358,84.65346534653465,260.60672913398605,whittle,1
10,1523,81.68316831683168,251.62960020184173,whittle,1
11,1683,79.20792079207921,243.4731915851134,whittle,1
12,1853,84.15841584158416,256.5326782825217,whittle,1
13,2019,82.17821782178217,254.28179975053044,whittle,1
14,2177,78.21782178217822,242.3972576650635,whittle,1
15,2335,78.21782178217822,242.27631404103786,whittle,1
16,2506,84.65346534653465,261.40571095485495,whittle,1
17,2665,78.71287128712872,241.54608156425806,whittle,1
18,2832,82.67326732673267,251.5489427566861,whittle,1
19,2987,76.73267326732673,234.85979137837714,whittle,1
20,3150,80.6930693069307,248.45110456373507,whittle,1
1,107,52.97029702970298,159.94074413698144,random,1
2,242,66.83168316831683,205.48823844257686,random,1
3,389,72.77227722772277,222.3219898825353,random,1
4,545,77.22772277227723,236.48589244345808,random,1
5,696,74.75247524752476,229.75481222805942,random,1
6,851,76.73267326732673,240.0800760143388,random,1
7,1010,78.71287128712872,245.32453278272473,random,1
8,1160,74.25742574257426,227.9354793650257,random,1
9,1322,80.19801980198021,248.14228196336606,random,1
10,1479,77.72277227722772,240.33209024443985,random,1
11,1630,74.75247524752476,230.68884581029872,random,1
12,1780,74.25742574257426,227.40478328136234,random,1
13,1930,74.25742574257426,226.0557917587397,random,1
14,2086,77.22772277227723,238.00257989416644,random,1
15,2234,73.26732673267327,226.239505816658,random,1
16,2391,77.72277227722772,236.81324262287436,random,1
17,2554,80.6930693069307,248.2365123962177,random,1
18,2721,82.67326732673267,255.91085308851382,random,1
19,2877,77.22772277227723,238.15322330855798,random,1
20,3034,77.72277227722772,237.1246116026079,random,1
1,118,58.415841584158414,179.08916137336857,dqn,2
2,249,64.85148514851485,199.9837701932524,dqn,2
3,388,68.8118811881188,214.1136687862727,dqn,2
4,528,69.3069306930693,213.52772248069832,dqn,2
5,677,73.76237623762376,226.7033794988074,dqn,2
6,829,75.24752475247524,234.00361490299318,dqn,2
7,991,80.19801980198021,247.09230006228498,dqn,2
8,1151,79.20792079207921,243.1261512670972,dqn,2
9,1305,76.23762376237624,234.0400944048541,dqn,2
10,1465,79.20792079207921,241.56674393890358,dqn,2
11,1616,74.75247524752476,228.34730788259589,dqn,2
12,1773,77.72277227722772,237.66519808904502,dqn,2
13,1931,78.21782178217822,241.90383519775872,dqn,2
14,2097,82.17821782178217,252.52316920497847,dqn,2
15,2262,81.68316831683168,252.2512400452285,dqn,2
16,2427,81.68316831683168,252.95481242903548,dqn,2
17,2594,82.67326732673267,256.715033481042,dqn,2
18,2763,83.66336633663366,258.81398208357456,dqn,2
19,2932,83.66336633663366,256.51124804895875,dqn,2
20,3099,82.67326732673267,252.0131777426221,dqn,2
1,98,48.51485148514851,149.6028634407262,cdsqn,2
2,224,62.37623762376238,191.54705974888984,cdsqn,2
3,365,69.80198019801979,216.5974164039493,cdsqn,2
4,507,70.29702970297029,216.78823752697082,cdsqn,2
5,653,72.27722772277228,220.01961325349998,cdsqn,2
